Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-02-27_18:07:13,14.0,61.0,61.0,54.0,48.0,47.0,2353.7,3384.0,3293.1,800.0,3218.8,3314.7,3219.2,800.0,800.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-27_18:07:15,14.0,51.0,50.0,48.0,49.0,46.0,1446.4,3278.4,800.0,800.0,3323.2,3400.0,800.0,800.0,800.0,0.9,2.0,0.0,3.5,0.5,1.0,0.5,0.0,0.0
2026-02-27_18:07:17,14.0,77.0,73.0,77.0,76.0,69.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,71.9,72.3,71.6,73.6,71.9,71.3,71.8,71.3,71.3
2026-02-27_18:07:19,14.0,80.0,76.0,79.0,80.0,72.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:07:21,14.0,82.0,77.0,81.0,81.0,72.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:07:23,14.0,83.0,78.0,83.0,83.0,75.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:07:25,14.0,85.0,81.0,84.0,85.0,76.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3193.0,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:07:27,14.0,86.0,81.0,84.0,85.0,76.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:07:29,14.0,87.0,82.0,85.0,86.0,78.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:07:31,14.0,86.0,82.0,86.0,87.0,78.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
