Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-02-27_18:34:07,14.0,60.0,52.0,60.0,53.0,47.0,2617.1,3288.1,3272.1,2855.9,3198.2,3400.0,3322.7,800.0,800.0,13.0,0.0,0.0,0.0,0.0,0.0,91.7,0.0,0.0
2026-02-27_18:34:09,14.0,51.0,51.0,49.0,49.0,47.0,2375.8,3235.7,3371.9,800.0,800.0,3072.9,3193.3,800.0,3193.0,1.1,0.5,0.5,0.0,0.5,2.0,2.0,3.5,0.0
2026-02-27_18:34:11,14.0,50.0,50.0,49.0,49.0,47.0,1768.1,3374.1,800.0,800.0,800.0,3400.0,3294.4,800.0,800.0,0.6,0.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2026-02-27_18:34:13,14.0,73.0,71.0,73.0,72.0,67.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,17.6,18.1,17.4,17.4,17.5,17.4,16.4,18.4,17.9
2026-02-27_18:34:15,14.0,81.0,75.0,79.0,81.0,71.0,3192.9,3193.0,3192.9,3193.0,3192.9,3193.0,3193.0,3193.0,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:17,14.0,81.0,77.0,80.0,81.0,73.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:19,14.0,83.0,78.0,82.0,83.0,75.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:21,14.0,84.0,81.0,84.0,84.0,77.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:23,14.0,86.0,81.0,85.0,86.0,77.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:25,14.0,86.0,81.0,85.0,85.0,78.0,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:27,14.0,86.0,82.0,85.0,86.0,78.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:29,14.0,87.0,82.0,86.0,87.0,79.0,3192.9,3192.9,3193.0,3193.0,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:31,14.0,87.0,82.0,87.0,87.0,79.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:33,14.0,87.0,82.0,87.0,87.0,79.0,3192.9,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:35,14.0,87.0,81.0,86.0,87.0,78.0,3192.9,3193.0,3193.0,3193.0,3192.9,3192.9,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:37,14.0,87.0,83.0,87.0,87.0,78.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:39,14.0,88.0,83.0,87.0,88.0,80.0,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:41,14.0,87.0,83.0,86.0,87.0,80.0,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:43,14.0,87.0,84.0,87.0,88.0,79.0,3192.9,3193.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:45,14.0,88.0,83.0,87.0,88.0,81.0,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:47,14.0,88.0,83.0,87.0,88.0,80.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:49,14.0,88.0,83.0,87.0,88.0,79.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:51,14.0,88.0,84.0,87.0,88.0,80.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:53,14.0,88.0,85.0,88.0,88.0,80.0,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:55,14.0,88.0,83.0,88.0,88.0,80.0,3192.9,3193.0,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:57,14.0,89.0,84.0,88.0,88.0,81.0,3192.9,3193.0,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:34:59,14.0,89.0,85.0,89.0,88.0,81.0,3192.9,3192.9,3193.0,3193.0,3193.0,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:02,14.0,90.0,85.0,90.0,90.0,80.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:04,14.0,90.0,86.0,90.0,89.0,81.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:06,14.0,89.0,86.0,88.0,89.0,80.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:08,14.0,89.0,86.0,90.0,89.0,81.0,3192.9,3192.9,3193.0,3193.0,3192.9,3193.0,3192.9,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:10,14.0,91.0,86.0,90.0,89.0,81.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:12,14.0,89.0,86.0,89.0,89.0,82.0,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:14,14.0,90.0,85.0,90.0,90.0,82.0,3192.9,3193.0,3192.9,3192.9,3192.9,3192.9,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:16,14.0,90.0,87.0,90.0,90.0,82.0,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:18,14.0,91.0,88.0,91.0,90.0,83.0,3192.9,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:20,14.0,91.0,86.0,90.0,90.0,82.0,3192.9,3193.0,3192.9,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:22,14.0,91.0,87.0,91.0,90.0,84.0,3192.9,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:24,14.0,91.0,87.0,91.0,91.0,84.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:26,14.0,91.0,88.0,91.0,92.0,83.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3193.0,3193.0,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:28,14.0,91.0,88.0,91.0,90.0,83.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:30,14.0,89.0,87.0,89.0,89.0,81.0,3192.9,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,99.1,99.0,99.5,99.0,99.0,99.0,99.0,99.0,99.0
2026-02-27_18:35:32,14.0,91.0,87.0,91.0,91.0,83.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,98.8,99.0,98.5,99.0,98.5,99.5,99.0,99.0,99.0
2026-02-27_18:35:34,14.0,91.0,87.0,91.0,90.0,83.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:36,14.0,91.0,87.0,91.0,91.0,82.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,97.4,97.5,97.5,97.0,97.5,97.0,97.5,97.5,97.5
2026-02-27_18:35:38,14.0,90.0,87.0,90.0,90.0,83.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,3192.9,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:40,14.0,90.0,86.0,90.0,90.0,83.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,100.0
2026-02-27_18:35:42,14.0,90.0,86.0,90.0,90.0,83.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3192.9,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:44,14.0,91.0,86.0,91.0,90.0,82.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:46,14.0,90.0,86.0,90.0,90.0,83.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:48,14.0,90.0,86.0,90.0,90.0,82.0,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:50,14.0,91.0,85.0,91.0,89.0,82.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:52,14.0,90.0,85.0,89.0,90.0,82.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:54,14.0,91.0,85.0,91.0,89.0,82.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:56,14.0,90.0,85.0,90.0,89.0,82.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:35:58,14.0,90.0,85.0,90.0,89.0,82.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:00,14.0,90.0,86.0,90.0,89.0,80.0,3192.9,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:02,14.0,90.0,86.0,89.0,90.0,82.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:04,14.0,90.0,84.0,90.0,89.0,81.0,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:06,14.0,89.0,85.0,89.0,89.0,82.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:08,14.0,90.0,86.0,90.0,89.0,81.0,3192.9,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:10,14.0,90.0,85.0,90.0,89.0,82.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:12,14.0,90.0,85.0,90.0,89.0,82.0,3192.9,3192.9,3192.9,3193.0,3192.9,3193.0,3192.9,3193.0,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:14,14.0,90.0,85.0,90.0,88.0,82.0,3192.9,3193.0,3193.0,3193.0,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:16,14.0,89.0,86.0,89.0,90.0,82.0,3192.9,3193.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:18,14.0,90.0,86.0,90.0,89.0,81.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:20,14.0,90.0,86.0,90.0,89.0,82.0,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:22,14.0,90.0,87.0,90.0,91.0,82.0,3192.9,3193.0,3193.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:24,14.0,90.0,85.0,90.0,90.0,83.0,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:26,14.0,91.0,86.0,91.0,90.0,82.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:28,14.0,90.0,87.0,90.0,90.0,83.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:30,14.0,90.0,87.0,90.0,90.0,83.0,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:32,14.0,87.0,83.0,87.0,87.0,80.0,3193.0,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,99.8,100.0,99.5,100.0,99.5,99.5,99.5,100.0,99.5
2026-02-27_18:36:34,14.0,91.0,87.0,91.0,90.0,84.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,97.7,98.0,97.5,97.5,98.0,98.5,97.5,97.5,97.5
2026-02-27_18:36:36,14.0,90.0,87.0,90.0,90.0,81.0,3192.9,3193.0,3193.0,3192.9,3193.0,3192.9,3193.0,3192.9,3193.0,99.8,100.0,100.0,99.5,99.5,99.5,100.0,100.0,100.0
2026-02-27_18:36:38,14.0,91.0,87.0,90.0,91.0,83.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,97.6,97.5,97.5,98.0,98.0,98.0,97.5,98.0,97.5
2026-02-27_18:36:40,14.0,91.0,87.0,91.0,91.0,83.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:36:42,14.0,91.0,87.0,91.0,91.0,83.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
