Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-02-27_18:21:21,14.0,61.0,61.0,52.0,49.0,47.0,2379.6,3343.3,3292.6,3258.6,3292.8,3400.0,800.0,800.0,800.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-27_18:21:23,14.0,50.0,49.0,48.0,48.0,46.0,2059.6,3374.4,3291.8,800.0,800.0,3400.0,800.0,3301.3,800.0,0.8,1.5,1.0,0.5,0.0,0.5,1.0,2.5,0.0
2026-02-27_18:21:25,14.0,50.0,49.0,47.0,49.0,47.0,1763.1,3370.7,3334.0,800.0,800.0,3400.0,800.0,800.0,800.0,0.8,2.0,1.0,0.0,0.0,0.5,0.0,3.0,1.0
2026-02-27_18:21:27,14.0,72.0,68.0,70.0,72.0,65.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,3192.9,11.5,11.9,13.4,10.4,10.9,10.9,10.4,12.4,11.4
2026-02-27_18:21:29,14.0,79.0,73.0,78.0,79.0,69.0,3192.9,3192.9,3192.9,3193.0,3192.9,3193.0,3192.9,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:21:31,14.0,80.0,75.0,80.0,81.0,71.0,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:21:33,14.0,82.0,77.0,81.0,83.0,74.0,3193.0,3192.9,3192.9,3192.9,3192.9,3192.9,3193.0,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:21:35,14.0,85.0,79.0,82.0,85.0,75.0,3192.9,3192.9,3192.9,3192.9,3193.0,3193.0,3192.9,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:21:37,14.0,85.0,79.0,83.0,85.0,76.0,3192.9,3193.0,3193.0,3193.0,3193.0,3193.0,3193.0,3192.9,3193.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-02-27_18:21:39,14.0,85.0,80.0,85.0,86.0,77.0,3192.9,3193.0,3192.9,3192.9,3192.9,3193.0,3193.0,3193.0,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
