Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-03_15:54:24,14.0,58.0,51.0,58.0,50.0,48.0,2363.1,3284.3,3325.6,3228.5,3193.6,3400.0,3308.7,3246.1,800.0,10.0,0.0,0.0,0.0,0.0,0.0,73.3,0.0,0.0
2026-03-03_15:54:26,14.0,50.0,49.0,48.0,49.0,47.0,2059.1,3297.2,3330.7,3324.1,800.0,800.0,3279.2,800.0,800.0,0.7,0.5,0.5,0.5,1.0,0.0,1.5,2.0,0.0
2026-03-03_15:54:28,14.0,49.0,49.0,47.0,47.0,47.0,1178.8,1997.9,800.0,800.0,800.0,800.0,1995.5,800.0,800.0,0.4,0.0,1.0,0.5,0.0,0.5,1.5,0.0,0.0
2026-03-03_15:54:30,14.0,50.0,50.0,47.0,47.0,46.0,1104.0,1597.4,800.0,800.0,800.0,800.0,1596.4,800.0,800.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,0.0,0.0
2026-03-03_15:54:32,14.0,50.0,50.0,47.0,47.0,46.0,1065.6,1796.9,800.0,800.0,1074.0,2407.6,1796.0,800.0,800.0,0.6,1.0,0.0,0.5,0.0,0.0,3.5,0.0,0.0
2026-03-03_15:54:34,14.0,48.0,48.0,47.0,48.0,46.0,974.2,1495.3,800.0,800.0,800.0,800.0,1496.6,800.0,800.0,0.7,0.5,1.0,0.5,0.5,1.0,2.5,0.0,0.0
2026-03-03_15:54:36,14.0,49.0,48.0,47.0,46.0,46.0,1427.9,3068.3,800.0,800.0,800.0,800.0,1710.4,800.0,800.0,0.7,0.5,0.5,0.5,0.0,0.0,2.5,1.5,0.0
2026-03-03_15:54:38,14.0,48.0,48.0,46.0,47.0,46.0,2365.1,3268.5,800.0,3284.8,3296.6,3400.0,3270.7,800.0,800.0,0.7,0.5,1.0,1.0,0.0,0.5,2.5,0.0,0.0
2026-03-03_15:54:40,14.0,48.0,47.0,46.0,47.0,45.0,1757.1,3300.2,800.0,800.0,800.0,3400.0,3279.2,800.0,800.0,0.5,0.5,0.0,0.5,0.5,0.0,1.5,0.0,0.0
2026-03-03_15:54:42,14.0,48.0,48.0,46.0,46.0,45.0,1748.6,3292.0,800.0,800.0,800.0,3400.0,3296.5,800.0,800.0,0.5,1.0,0.0,1.0,1.0,0.5,1.5,0.0,0.5
2026-03-03_15:54:44,14.0,48.0,48.0,47.0,47.0,45.0,2061.4,3289.6,800.0,800.0,3304.4,3400.0,3296.9,800.0,800.0,0.7,0.5,0.0,1.5,1.0,0.5,2.5,0.0,0.0
2026-03-03_15:54:46,14.0,48.0,47.0,47.0,47.0,45.0,1309.3,1897.5,800.0,800.0,1894.9,800.0,1895.8,800.0,800.0,1.0,1.0,0.0,1.0,2.5,0.0,1.5,2.0,0.0
2026-03-03_15:54:48,14.0,47.0,48.0,47.0,47.0,45.0,2077.5,3291.7,800.0,3297.6,3288.2,3400.0,3270.5,800.0,800.0,0.7,0.5,0.0,1.0,2.0,0.5,2.0,0.0,0.0
2026-03-03_15:54:50,14.0,48.0,48.0,46.0,46.0,45.0,2061.9,3204.7,800.0,3282.0,800.0,3400.0,3283.2,800.0,800.0,1.4,0.5,0.0,2.0,4.0,0.0,4.0,0.0,0.0
2026-03-03_15:54:52,14.0,48.0,48.0,47.0,46.0,45.0,1579.3,3286.6,800.0,800.0,800.0,3400.0,3381.7,800.0,800.0,2.7,1.1,0.0,1.1,6.4,2.1,12.5,0.0,0.0
2026-03-03_15:54:54,14.0,73.0,72.0,73.0,72.0,66.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,52.2,52.2,51.7,52.2,53.7,51.3,53.5,50.7,51.7
2026-03-03_15:54:56,14.0,77.0,74.0,76.0,75.0,69.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:54:58,14.0,79.0,76.0,78.0,79.0,71.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:00,14.0,80.0,77.0,80.0,80.0,72.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:02,14.0,82.0,79.0,82.0,82.0,73.0,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:04,14.0,83.0,79.0,83.0,82.0,75.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:06,14.0,84.0,81.0,84.0,83.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:08,14.0,85.0,82.0,85.0,84.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:10,14.0,86.0,82.0,86.0,85.0,78.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:12,14.0,86.0,83.0,85.0,86.0,77.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:14,14.0,86.0,82.0,87.0,85.0,79.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:16,14.0,87.0,83.0,87.0,86.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:18,14.0,87.0,84.0,86.0,87.0,78.0,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:20,14.0,87.0,83.0,87.0,86.0,79.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:22,14.0,87.0,83.0,87.0,87.0,79.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:24,14.0,88.0,84.0,88.0,86.0,80.0,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:26,14.0,88.0,84.0,88.0,87.0,80.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:28,14.0,88.0,84.0,88.0,87.0,80.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:30,14.0,88.0,86.0,88.0,88.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:32,14.0,88.0,84.0,89.0,88.0,81.0,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:34,14.0,89.0,85.0,89.0,88.0,80.0,3192.8,3192.9,3192.9,3192.9,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:37,14.0,88.0,86.0,88.0,88.0,80.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:39,14.0,90.0,85.0,89.0,88.0,80.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:41,14.0,91.0,86.0,91.0,88.0,81.0,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:43,14.0,90.0,87.0,90.0,88.0,81.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:45,14.0,90.0,86.0,90.0,88.0,81.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:47,14.0,90.0,86.0,90.0,88.0,82.0,3192.8,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:49,14.0,91.0,86.0,90.0,88.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:51,14.0,90.0,87.0,90.0,88.0,81.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:53,14.0,91.0,87.0,91.0,89.0,82.0,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:55,14.0,91.0,87.0,91.0,89.0,83.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:57,14.0,91.0,88.0,91.0,91.0,82.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:55:59,14.0,91.0,88.0,91.0,89.0,82.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,97.4,97.5,97.5,97.5,97.5,97.5,97.0,97.5,97.5
2026-03-03_15:56:01,14.0,91.0,88.0,92.0,90.0,83.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,97.5,98.0,97.5,97.0,97.0,97.5,97.5,98.0,97.5
2026-03-03_15:56:03,14.0,91.0,87.0,91.0,90.0,83.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,97.4,97.5,97.0,97.5,97.5,97.0,97.5,97.5,97.5
2026-03-03_15:56:05,14.0,91.0,88.0,91.0,89.0,83.0,3192.8,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,3192.8,97.4,97.5,97.5,97.0,97.0,97.5,97.0,97.5,97.5
2026-03-03_15:56:07,14.0,92.0,89.0,91.0,89.0,83.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:56:09,14.0,91.0,89.0,90.0,90.0,82.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_15:56:11,14.0,91.0,88.0,90.0,90.0,83.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,98.0,98.0,97.5,98.0,98.0,98.0,98.0,98.0,98.0
2026-03-03_15:56:13,14.0,91.0,88.0,91.0,90.0,84.0,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,3192.9,99.4,99.5,99.5,99.5,99.5,99.0,99.5,99.5,99.5
2026-03-03_15:56:15,14.0,87.0,83.0,86.0,87.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,97.8,98.0,98.0,97.5,98.0,98.0,97.5,97.5,98.0
2026-03-03_15:56:17,14.0,91.0,87.0,91.0,90.0,83.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,97.4,97.5,97.1,97.6,97.1,97.6,97.5,97.5,97.5
2026-03-03_15:56:19,14.0,90.0,87.0,90.0,90.0,82.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,97.5,97.5,97.5,97.0,97.5,97.0,97.0,97.5,97.5
