Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-03_17:30:01,14.0,57.0,48.0,46.0,51.0,57.0,2341.1,3299.4,3193.5,3193.8,1321.6,3256.9,800.0,800.0,3378.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-03-03_17:30:03,14.0,48.0,48.0,47.0,48.0,46.0,1410.5,3309.7,3193.1,800.0,800.0,800.0,800.0,800.0,3271.6,0.8,0.5,2.5,0.5,0.0,0.0,0.0,1.0,2.0
2026-03-03_17:30:05,14.0,49.0,49.0,47.0,47.0,45.0,1124.0,2096.8,800.0,800.0,800.0,800.0,800.0,800.0,2095.3,0.9,0.0,2.0,3.0,0.0,0.5,0.0,0.0,1.5
2026-03-03_17:30:07,14.0,48.0,48.0,46.0,47.0,46.0,1073.4,1594.3,800.0,800.0,1596.0,800.0,800.0,800.0,1596.4,0.7,1.0,1.5,0.5,0.0,0.5,0.0,0.5,2.0
2026-03-03_17:30:09,14.0,49.0,48.0,48.0,46.0,46.0,1113.4,1596.3,987.7,800.0,800.0,800.0,1596.4,1527.6,798.4,1.3,0.0,1.0,0.5,0.0,0.5,2.5,0.5,5.5
2026-03-03_17:30:11,14.0,48.0,48.0,47.0,47.0,46.0,1236.2,1496.1,800.0,800.0,800.0,2895.3,1496.6,800.0,800.0,1.7,1.5,1.5,0.5,0.0,0.5,7.5,0.5,2.0
2026-03-03_17:30:13,14.0,73.0,70.0,73.0,73.0,67.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,32.7,32.5,35.3,31.5,31.7,31.3,37.6,31.7,30.8
2026-03-03_17:30:15,14.0,78.0,73.0,77.0,79.0,70.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:17,14.0,80.0,76.0,79.0,80.0,72.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:19,14.0,82.0,78.0,81.0,81.0,73.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:21,14.0,83.0,78.0,82.0,83.0,74.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:23,14.0,84.0,79.0,83.0,85.0,76.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:25,14.0,85.0,80.0,83.0,85.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:27,14.0,85.0,81.0,85.0,84.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:29,14.0,86.0,82.0,85.0,85.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:31,14.0,85.0,81.0,85.0,85.0,77.0,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:33,14.0,86.0,80.0,84.0,86.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:35,14.0,85.0,80.0,84.0,85.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:37,14.0,85.0,82.0,85.0,86.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:39,14.0,86.0,81.0,85.0,86.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:41,14.0,86.0,81.0,86.0,86.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:43,14.0,86.0,80.0,86.0,85.0,77.0,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:45,14.0,87.0,81.0,86.0,87.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:47,14.0,85.0,81.0,84.0,85.0,78.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:49,14.0,86.0,83.0,85.0,86.0,76.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:52,14.0,86.0,81.0,86.0,85.0,77.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:54,14.0,86.0,82.0,86.0,87.0,77.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:30:56,14.0,87.0,81.0,86.0,87.0,77.0,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
