Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-03_17:15:52,14.0,62.0,62.0,55.0,50.0,47.0,2368.3,3383.3,3228.8,3240.9,3293.1,3400.0,800.0,800.0,3293.7,12.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03_17:15:54,14.0,52.0,52.0,49.0,49.0,49.0,2293.8,3329.8,3367.1,800.0,2510.7,3400.0,3343.1,800.0,800.0,0.5,1.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0
2026-03-03_17:15:56,14.0,51.0,50.0,50.0,49.0,47.0,1403.8,1996.1,1995.5,800.0,1994.4,800.0,800.0,800.0,1076.9,0.7,0.0,3.5,0.0,0.0,0.0,0.5,0.5,0.0
2026-03-03_17:15:58,14.0,51.0,50.0,49.0,48.0,48.0,1760.8,3297.4,3278.7,800.0,800.0,3400.0,800.0,800.0,800.0,0.3,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5
2026-03-03_17:16:00,14.0,51.0,52.0,51.0,48.0,47.0,2071.0,3338.6,3313.3,800.0,800.0,3340.7,3316.0,800.0,800.0,1.1,1.0,5.0,0.0,0.5,0.0,0.5,0.0,1.5
2026-03-03_17:16:02,14.0,51.0,50.0,51.0,48.0,47.0,2399.0,3268.1,3380.0,800.0,3284.6,3400.0,3352.0,800.0,3335.7,1.8,1.8,10.5,0.0,1.8,1.8,0.0,0.0,1.8
2026-03-03_17:16:04,14.0,50.0,49.0,49.0,50.0,46.0,1755.8,3362.2,3283.9,800.0,800.0,3400.0,800.0,800.0,800.0,1.1,2.0,4.5,0.0,1.0,0.5,0.0,0.0,1.0
2026-03-03_17:16:06,14.0,79.0,74.0,79.0,78.0,71.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,91.1,92.5,91.0,91.1,90.5,91.0,90.0,90.6,91.5
2026-03-03_17:16:08,14.0,81.0,76.0,80.0,81.0,73.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:10,14.0,82.0,77.0,81.0,82.0,75.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:12,14.0,83.0,79.0,82.0,84.0,75.0,3192.8,3192.8,3192.9,3192.9,3192.8,3192.9,3192.9,3192.9,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:14,14.0,84.0,79.0,84.0,84.0,75.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:16,14.0,85.0,78.0,83.0,85.0,76.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:18,14.0,85.0,80.0,85.0,85.0,78.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:20,14.0,85.0,81.0,85.0,85.0,78.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:22,14.0,86.0,81.0,85.0,86.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:24,14.0,86.0,81.0,86.0,86.0,78.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:26,14.0,87.0,81.0,86.0,86.0,79.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:28,14.0,87.0,82.0,86.0,87.0,78.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:30,14.0,88.0,82.0,88.0,87.0,80.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:32,14.0,88.0,83.0,88.0,87.0,79.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:34,14.0,89.0,84.0,88.0,88.0,81.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:37,14.0,88.0,83.0,88.0,88.0,81.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:39,14.0,88.0,84.0,87.0,87.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:41,14.0,88.0,83.0,88.0,88.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:43,14.0,89.0,83.0,89.0,88.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:45,14.0,89.0,84.0,89.0,88.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:16:47,14.0,89.0,84.0,90.0,89.0,81.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
