Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-03_18:27:46,14.0,61.0,50.0,49.0,59.0,50.0,2351.1,3289.4,3225.2,3297.9,3196.1,3400.0,800.0,800.0,800.0,13.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2026-03-03_18:27:48,14.0,74.0,72.0,74.0,73.0,68.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.9,3192.9,3192.8,28.2,27.5,27.6,30.3,27.4,27.9,26.9,26.9,30.8
2026-03-03_18:27:50,14.0,79.0,77.0,79.0,79.0,70.0,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:27:52,14.0,82.0,78.0,81.0,82.0,73.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:27:54,14.0,83.0,80.0,83.0,84.0,75.0,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:27:56,14.0,85.0,80.0,84.0,85.0,76.0,3192.8,3192.9,3192.9,3192.8,3192.9,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:27:58,14.0,84.0,81.0,84.0,84.0,76.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:28:00,14.0,86.0,81.0,85.0,85.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:28:02,14.0,86.0,82.0,86.0,86.0,77.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:28:04,14.0,87.0,83.0,86.0,86.0,77.0,3192.8,3192.9,3192.9,3192.9,3192.8,3192.9,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:28:06,14.0,86.0,83.0,85.0,86.0,76.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:28:08,14.0,85.0,82.0,85.0,86.0,77.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_18:28:10,14.0,86.0,83.0,84.0,86.0,77.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
