Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-03_17:54:53,14.0,62.0,51.0,51.0,62.0,51.0,2070.2,3290.3,2597.1,1922.8,3240.6,3400.0,3278.0,3215.8,800.0,11.7,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0
2026-03-03_17:54:55,14.0,51.0,51.0,47.0,51.0,46.0,2191.8,3270.4,2100.0,3222.3,800.0,3400.0,800.0,3223.4,3318.2,1.4,1.0,1.5,1.0,2.0,2.0,0.5,2.0,1.0
2026-03-03_17:54:57,14.0,50.0,50.0,48.0,50.0,46.0,1750.6,3293.9,800.0,800.0,800.0,3400.0,800.0,3287.4,800.0,0.7,0.0,0.0,2.0,0.0,0.5,0.0,2.0,2.0
2026-03-03_17:54:59,14.0,51.0,51.0,47.0,51.0,46.0,1753.7,3327.0,800.0,800.0,964.8,3400.0,800.0,3288.1,800.0,0.7,0.0,0.0,1.5,0.0,0.5,0.5,2.0,0.0
2026-03-03_17:55:01,14.0,78.0,74.0,78.0,76.0,70.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,47.3,46.3,46.3,48.5,46.5,47.3,47.3,50.0,47.3
2026-03-03_17:55:03,14.0,82.0,78.0,80.0,81.0,72.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:05,14.0,84.0,79.0,82.0,84.0,74.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:07,14.0,85.0,81.0,84.0,85.0,76.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:09,14.0,86.0,81.0,86.0,85.0,76.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:11,14.0,87.0,81.0,86.0,87.0,78.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:13,14.0,88.0,84.0,87.0,88.0,79.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:15,14.0,89.0,85.0,88.0,89.0,80.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:17,14.0,89.0,86.0,88.0,89.0,80.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:19,14.0,89.0,85.0,88.0,89.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:21,14.0,89.0,86.0,88.0,89.0,80.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:23,14.0,89.0,85.0,89.0,89.0,81.0,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:25,14.0,90.0,86.0,88.0,89.0,80.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:27,14.0,89.0,85.0,89.0,89.0,81.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:29,14.0,89.0,85.0,89.0,89.0,81.0,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:31,14.0,89.0,86.0,89.0,89.0,81.0,3192.8,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:33,14.0,89.0,85.0,88.0,89.0,81.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:55:35,14.0,89.0,86.0,88.0,89.0,80.0,3192.8,3192.9,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
