Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-03_17:03:31,14.0,60.0,51.0,48.0,50.0,59.0,2684.2,3283.8,800.0,3225.8,3327.6,3400.0,3265.5,800.0,3370.6,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-03-03_17:03:33,14.0,51.0,50.0,48.0,48.0,47.0,2056.6,3301.3,800.0,800.0,3294.2,3400.0,3283.8,800.0,800.0,0.9,0.0,0.5,1.0,1.0,0.5,0.5,3.0,1.5
2026-03-03_17:03:35,14.0,70.0,67.0,71.0,68.0,66.0,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,3192.8,3192.9,10.7,10.0,10.0,10.0,10.4,10.4,11.9,14.4,9.5
2026-03-03_17:03:37,14.0,78.0,73.0,77.0,78.0,70.0,3192.8,3192.8,3192.9,3192.9,3192.8,3192.9,3192.8,3192.9,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:03:39,14.0,81.0,76.0,79.0,81.0,73.0,3192.8,3192.9,3192.8,3192.9,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:03:41,14.0,81.0,75.0,81.0,81.0,72.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:03:43,14.0,83.0,78.0,82.0,83.0,75.0,3192.8,3192.9,3192.9,3192.8,3192.8,3192.9,3192.9,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:03:45,14.0,84.0,79.0,82.0,84.0,75.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.9,3192.8,3192.8,3192.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:03:47,14.0,84.0,79.0,84.0,84.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-03_17:03:49,14.0,86.0,81.0,84.0,86.0,77.0,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,3192.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
