,condition,temp_mean_last60_C,temp_max_C,temp_p95_C,time_to_90C_s,freq_mean_last60_MHz,util_mean_last60_%
4,20260303_mini-fan_lazy_5min,90.1,92.0,91.0,93.0,3193.0,99.8
6,20260303_mini-fan_parallel_to_north_5min,90.55,92.0,91.0,92.0,3193.0,99.6
2,20260227_rised_5min,90.58,93.0,92.0,72.0,3193.0,99.7
5,20260303_mini-fan_near-radiator_5min,90.61,92.0,91.0,73.0,3193.0,99.5
7,20260303_mini-fan_to-center_5min,91.0,93.0,92.0,32.0,3193.0,98.1
8,20260303_open_screen_off_5min,91.2,93.0,92.0,63.0,3193.0,98.1
1,20260227_fan_5min,91.37,93.0,92.0,55.0,3193.0,97.5
9,20260303_open_screen_on_5min,91.83,93.0,93.0,45.0,3194.0,96.6
3,20260303_after_start_closed_5min,92.13,94.0,93.0,75.0,3193.0,96.3
0,20260227_desk_5min,92.42,94.0,94.0,34.0,3193.0,93.3
